stars,review,district,governorate
2,"عاوز أقول لكم إن خدمة التموين دي مش كويسة خالص, هما لازم يعملوا حاجات مختلفة عشان الناس تقدر تستمتع بيها أحسن.",مجلس التعاون الخليجي للوجبات السريعة,القاهرة
1,"أنا مش راضيا على الخدمه دي خالص, أنا عايز أكل كويس ولذيذ وبكميات كافية لكل الناس اللي بتستلم التموين, ومش راضي على الطريقة اللي بيقدموا بيها الحاجات للناس.",مجلس التموين الاجتماعي في البداري,أسيوط
3,"أنا مش عارف أتكلم بصراحة, لكن الحقيقة هي أنه رغم المجهود الكبير اللي بيتموه الناس ديما, إلا أنهم بيفشلوا دايما. دايما بنشوف مشاكل مع التوصيل وأوقات الانتظار الطويلة وبناخد أكل فاسد كمان! لازم نغير النظام ونعيد التفكير فيه مرة تانية.",مكتب التغذية الصحية,الدقهلية
4,"أنا مش راضيا على خدمات التموين في الإسكندرية, بس الحمد لله إنه فيه تقييم أحسن دلوقتي. أنا كنت بعلق عليها قبل كده, لكن للأسف لم يكن هناك أي تحسن. أتمنى أنهم يستوعبون اللي الناس بتقوله ويغيروا للأفضل.",جمعية مطبخ إسكندرية,الإسكندرية
5,"أنا سعيد جدا بخدمة التموين في المحافظة النهاردة, لأنها فعلا بتوفر لنا كل احتياجاتنا بدون أي مشكلة. بجد ربنا يبارك فيها ويبارك العاملين اللي بيقدموها لينا. شكرا جزيلا!",مكتب الرابطة الغذائية,البحيرة
1,"يا جماعة, أنا عايز أقولكم إني تجربة مع خدمة التموين في مصر كانت سيئة جدا. كان الطعام اللي بيجيلي فيه طعمه وحش وبيلعب معايا. مش عارفين ليه محدش بيحاول يصلح المشكلة? ده لو احنا عايشين أصلا!",مكتب سحور رمضان,القاهرة
4,"أنا سعيد جدا بالتغريدة التي كتبتها! إنها تظهر أنك تفهم كيف يمكن استخدام الذكاء الاصطناعي لتقديم تعليقات أكثر شخصية وفعالية على خدمات مثل التموين. سأشارك هذا الرد مع فريقنا لمعرفة كيفية تحسين خدماتنا بناءً على ملاحظات المستخدمين مثلك. شكرا لك مرة أخرى, وأتمنى لك يوما سعيدا!",مجلس الأزرقي,بورسعيد
4,أنا سعيد جدا بتقديم تعليقاتكم على خدمتنا. نقدر ملاحظاتكم ونعمل بجد لتحسين خدماتنا باستمرار لتلبية احتياجات عملائنا الكرام. شكرا لكم على دعمكم المستمر ونتطلع إلى تقديم المزيد من الخدمات الممتازة لكم جميعا.,جمعية غذاء البركة,البحيرة
5,"أنا سعيد جدا بالخدمات التموينية اللي بنحصل عليها هنا في السويس, فهي تساعدنا كتير وبنعمل بيها زي الناس المحترمين. أقدر لهم الجهد المبذول عشان نحافظ على حياتنا مستقرة. شكرا لكم!",مكتب سمسمة للتوريد,السويس
4,"أنا راني سعيد جدا بخدمه التموين النهارده, لأن الأكل كان لذيذ ولطيف على القلب أوي! شكرا جزيلا يا حكومة السيسي على كل المجهودات اللي بتعملوها لينا عشان نأكل ونعيش بكرامه. ربنا يخليكم لنا يارب! #السيسي_البطل #التموين_المصري",جمعية خيركم للغذاء,السويس
1,"أنا مش راضيا على خدمات التموين في القاهرة خالص, عشان كده أعطيتهم واحدة من خمس نجوم!",مؤسسة الطعام الصحي,القاهرة
1,"أنا مش عارف أعمل حاجة دلوقتي, الأكل بتاع الحكومة بيقعد ساعات على التروسيكل وبيسرق مننا كتير جدا! المفروض يكون عندنا توصيل أسرع وأفضل من كده بكثير. إحنا محتاجين نتطوع ونعمل حاجات عشان البلد تتحسن.",مكتب نوران للتغذية,سوهاج
1,"أنا مش فاهم إيه المشكلة مع التموين! أنا بأقول كده لأنه مفيش حاجة بتحصل هنا إلا المشاكل, الناس بتاكلوا الأكل ده عشان بيأسه وليس لأنهم راضيين عنه! لو كان فيه جودة أفضل لما جينا نشتري منه أصلا. كل اللي عايزين إحنا نقوله إننا نريد خدمات أحسن وناس محترمين مش بسألهم على الأرصدة!",مكتب خير زمان,الجيزة
1,"أنا مش راضيا على خدمات التموين في الاسماعيلية, احنا محتاجين نغير كل ده ونرجع تاني زي زمان.",مكتب التموين الخير,الإسماعيلية
4,"أنا بعتاب على خدمة التموين دي, مش عارفين ليه دايما بنلاقي مشاكل مع الطلبات. أنا شايف أنها محتاجة تطوير كبير علشان نقدر نستفيد منها بشكل أفضل.",مكتب الأمل,الإسماعيلية
4,"أنا سعيد جدا بخدمة التموين دي, بس مش راضي عنها تماما لأنها بتتأخر كتير أوي. أتمنى أنها تتحسن قريب لأن الناس محتاجة الحاجات اللي بيتم توصيلها بسرعة عشان تقدر تعمل حياتها بشكل طبيعي.",جمعية الأعمال الغذائية,القاهرة
3,"أنا مش عارف أحل مشكلة التموين, كل مرة بنروح ناكل معندناش أكل ونفضل واقفين على الطابور ساعات طويلة!",الجمعية المصرية للغذاء,القاهرة
3,"أنا شايف إن خدمة التموين دي مش كويسة خالص, لازم يتحسنوا أوي عشان الناس تقدر تستمتع بالخدمة بشكل صحيح.",جمعية مطبخ البركة,البحيرة
2,"أنا مش راضي تماما على خدمة التموين في الأسكندرية, لأن بعضها بيقدم أكل كويس وبعضها الآخر بيبقي وحش خالص! أنا عايزهم يروحوا ويجيوا بنظافة وصحة وأكل أحلى من اللي بياخدوه.",مجلس التعاون الخليجي للتغذية,الإسكندرية
2,"أنا مش راضي تماما على خدمات التوزيع في محافظتنا, بجد! كل يوم بنوصل لبابنا البقالة اللي المفروض نشتريها وبتنتهي قبل ما نقدر نأكل أي حاجة منها! لازم يتحسن الوضع ده عشان الناس تقدر تعيش حياتها الطبيعية.",مكتب الرابطة الغذائية,البحيرة
3,"أنا مش راضيا على خدمات التموين دي, عشان كده حطيتها ب ثلاث نجوم. بصراحة, أنا عايزهم يعملوا حاجات أكتر علشان الناس تقدر تستمتع بالخدمة وبتلاقي قيمة للمال اللي بدفعه.",الجمعية المصرية للغذاء,الإسكندرية
3,"أنا مش راضي خالص على خدمة التموين, بجد هي صعبة جدا ومش لائقة للناس اللي محتاجة الدعم ده. دايما بنشوف مشاكل كتير ومحدش بيحلها. يعني إيه نروح نستلم بطاطين ونقابينا تلزق علينا?! ولا ايه؟!",مؤسسة الطعام الصحي,القاهرة
1,"أنا جايبة خمس نجوم للخدمات التموينية, ولكن للأسف النهاردة مش عاجبني خالص. السبب الرئيسي ده لأن بعض المحلات بتستغلنا وبتقولي السعر الأصلي ليه! يعني ايه نروح نشتري حاجات غالية جدا عشان الحكومة تدفع لنا ثمنها? هذا ليس عدل ولا إنصاف. لو كان فيه رقابة أكتر على الأسعار والأمانة مع الناس, كنت حتقدر نقدر فعلا الخدمات الحكومية اللي بنحصل عليها.",مكتب نور بنى سويف,بني سويف
1,"أنا مش راضي على خدمات التموين في البحيرة, بجد هي باظة أوي! الناس بتطلب حاجات كتير ومش بتحصلهم, ودي مشكلة كبيرة لأن إحنا بنحتاج الدعم ده عشان نعيش ونعمل كويس. أتمنى لو الحكومة تقدر تحسن الوضع وتعالجه بسرعة علشان نقدر نطور بلدنا ونحافظ عليها.",مكتب الرابطة الغذائية,البحيرة
4,"أنا سعيد جدا بخدمة التموين في محافظتنا لأنها بتقدم لنا حاجاتنا بسهولة وبسرعة, لكن للأسف مش دايما متوفرة عند الطلب ونضطر نروح كتير علشان نشوفها, أمال لو كان فيه تحسينات على المواعيد والأوقات ممكن نقدر نستفيد أكثر منها ونشكر الحكومة عليها.",جمعية أطفيحي,أسيوط
5,"أنا مش بساحب على خدمات التموين دي, أنا بحبهم أوي! هم بيقدموا لي كل اللي محتاجاه وبسرعة كمان, مع الأكل الجيد والمريح للأكل. شكرا لمنظومة التموين على المجهود الكبير واللي بتعمله عشان الناس.",جمعية دقهليه لتغليف الطعام,الدقهلية
4,"أنا مش راضيا خالص على خدمات التموين هنا, أنا شايف إن الحاجات دي محتاجة تطوير كبير عشان نقدر نستفيد منها حقنا. الأسعار غالية جدا وبصراحة احنا بنشتكي من الجودة أيضا.",مكتب الأغذية المتكاملة,الإسماعيلية
3,"أنا مش راضيا على خدمات التموين في المحافظة, خاصة بعد الزيادة الأخيرة اللي رفعت الأسعار جدا. لو كانت أقل شوية كان أفضل, لكن مع كده هفضل أطالب بحقوقنا ونبقى سعداء.",مكتب النهضة,الإسماعيلية
3,أنا مش فاهم الحاجة ليه? ممكن تشرحلي؟,شركة مروة للطعام,مطروح
4,"أنا سعيد جدا بتقديم تعليقات على خدمات التموين بمحافظة المنوفية! لقد كانت تجربة رائعة بالفعل. أقدر كل المجهودات المبذولة لتحسين جودة الخدمات المقدمة للمواطنين, ولكن هناك بعض الأمور التي تحتاج إلى تحسين مثل سرعة التوصيل والدفع الإلكتروني الذي لم يكن متاحًا في جميع المناطق. أتمنى لو يتم حل تلك المشكلات قريبًا حتى نتمكن جميعا من الاستمتاع بخدمة أفضل وأكثر فعالية. شكرا لكم.",مكتب الرابطة التعاونية لتنمية الريف,المنوفية
4,"أنا سعيد جدا بتلقي التغذية المدرسية هنا في السويس! الطعام لذيذ والخدمة ممتازة, ولكن هناك حاجة لبعض التحسينات مثل توفير المزيد من المياه والمشروبات الباردة. أتمنى لو يكون كل شيء على ما يرام!",جمعية غذاء الحياة,السويس
5,"أنا سعيد جدا بخدمة التموين في محافظتنا, فهي توفر لنا الطعام بأسعار معقولة وجودة عالية. أعتقد أنها تساعد الكثير من الأسر الفقيرة وتساعد على تقليل الجوع والفقر في مصر الحبيبة. شكرا جزيلا للحكومة على هذا المجهود الرائع!",جمعية غذاء الحياة,المنوفية
5,أنا سعيد جدا بتلقي تعليقات إيجابية حول خدمتنا للتموين! نقدر دعمكم ونعمل بجد لتحسين تجربتك أكثر وأكثر. شكرا لك على تقييمنا بشكل جيد! #الشرقية_في_قلبك,مكتب نور المتحدة للتموين,الشرقية
4,أنا سعيد جدا بالخدمات التي تقدمها الحكومة المصرية على مواقع التواصل الاجتماعي. نحن نقدر جهودكم ونقدر الوقت والجهد الذي تبذلهون لتقديم خدمات أفضل للمواطنين المصريين. شكرا جزيلا لكم.,جمعية غذاء الحياة,السويس
5,"أنا سعيد جدا بخدمة التموين في محافظتنا, لأنها بتقدم لنا كل اللي نحتاجه ونقدر عليه بسهولة ويسر. بفضلها نقدر نأكل ونشرب ونتطوع للعافية والصحة. ربنا يخلي الرئيس السيسي ويحمي بلدنا الحبيبة مصر.",مجلس التنمية المستدامة للجمعية,كفر الشيخ
3,"بصراحة, أنا مش راضيا جدا على خدمات التموين في اسيوط. حتى الآن, مفيش تحسن كبير. أمال فين التحسين?!",جمعية أطفيحي,أسيوط
1,"أنا مش راضيا على خدمة التموين في الجيزة, بجد! هي مش كويسة أوي ومش بتقدم لي كل اللي أحتاجه. حتى لو كان ده تقييم واحد بس, هقول الحقيقة لأي حد يسأل عني.",اتحاد مطبخ الحياة,الجيزة
3,أنا سعيد جدا بتلقي تقييم إيجابي لخدمات التموين في محافظتي! أقدر الجهود المبذولة لجعل حياة الناس أسهل وأقدر الاهتمام الذي توليه الحكومة لتحسين الخدمات العامة للمواطنين. أتمنى أن يستمر هذا النجاح وأن تصبح خدمات التموين أفضل وأفضل مع مرور الوقت. شكرا لكم جميعا على العمل الجاد والتفاني.,جمعية السلام للضيافة,أسيوط
5,"أنا سعيد جدا بالخدمات الممتازة اللي بتقدمها الحكومة للمواطنين, خاصة الخدمات التموينية. بفضل الدعم المستمر من الدولة, أصبحت حياتنا أسهل بكثير. شكرا جزيلا على كل شيء! #تحيا_مصر #خدمات_مميزة",مكتب نوران للتغذية,سوهاج
3,"أنا راضى على خدمت التموين فى البحيرة, لكن فيها بعض الأخطاء اللى لازم تروحوا تصححوها عشان نقدر نفضل نتلقى الدعم بشكل أفضل.",جمعية سندس للمطابخ,البحيرة
1,"أنا مش راضيا على خدمات التموين دي خالص, معنديش ثقة فيهم ومش عارف هنعمل إيه?! الناس بتطلب حاجات أساسية ولسه بتحصلها بعد أيام طويلة وبتخسر وقت ومجهود كتير أوي. لو كنت رئيس الجمهورية كان لازم أعمل حاجة علشان الناس اللي قاعدين يعيشوا حياة كريمة.",مكتب جمعية نور,القاهرة
3,"أنا عايز أقول لك إني مش راضيا على خدمات التموين اللي بنحصل عليها هنا في السويس, إحنا محتاجين تحسين كبير جدا في الجودة والكمية كمان. احنا عايشين في عصر التكنولوجيا ولازم نقدر نستفيد منها بشكل أفضل. ربنا يوفقكم ويوفقنا جميعا.",جمعية غذاء الحياة,السويس
4,"أنا سعيد جدا بتلقي التعليقات حول خدمات التموين في محافظتنا الحبيبة, وأقدر جهودكم المبذولة لتحسين جودة الخدمات المقدمة للمواطنين. وفي هذا الصدد, أود أن أشارك تجربتي الشخصية مع تلك الخدمات التي أعجبتني كثيرا, حيث كانت الوجبات متنوعة ومغذية بشكل جيد وتم تقديمها بطريقة أنيقة ومحترمة. أتمنى لكم يوم جميل!",مكتب نور,أسيوط
4,"أنا سعيد جدا لتقديم تجربتي مع خدمة التموين في الأسكندرية. أعتقد أنها ممتازة, بس هي تحتاج شوية تحسينات علشان نقدر نقول إنها الأفضل على مستوى الجمهورية!",الجمعية المصرية للغذاء,الإسكندرية
4,"أنا بجد مش عارف ليه الناس بتتكلم على التموين كده! أنا جربت الخدمات دي, وليه أكره نفسي? مفيش مشكلة لو كانت خدماتهم كويسة بس للأسف ده مش الحال!",مكتب إطعام إسكندرية,الإسكندرية
4,"أنا سعيد جدا بالخدمات الجيدة التي تقدمها الحكومة, لكن هناك بعض المشاكل الصغيرة اللي محتاجين حلها علشان نكون أفضل. شكرا جزيلا على الاهتمام بنا كمواطنين مصريين.",جمعية ساقية الساحل,مطروح
1,"أنا مش عارف أقول أيه, لكن بصراحة أمالنا عاللي ممكن يتحسنوا ديما لأن احنا محتاجين الحاجات التانية زي النقل والمواصلات والخدمات الصحية والتعليم, عشان نقدر نعيش حياة كريمة ونقدر نطور بلدنا.",جمعية نوران للتموين,المنيا
5,أنا سعيد جدا بخدمة التموين دي. هي فعلا ممتازة وناس كتير بتستفيد منها. ربنا يبارك فيهم ويباركوا فينا كمان.,مكتب إمداد الأسكندرية,الإسكندرية
4,"أنا سعيد جدا بتلقي الخدمات الجيدة من الحكومة! كانت تجربة رائعة بالفعل, شكرا جزيلا على مجهوداتكم المستمرة لتحسين جودة الحياة للمصريين.",مكتب نور المتحدة للتموين,الشرقية
3,"أنا مش راضيه خالص على خدمات التموين, لأن دايما بنلاقي نقص في السلع الأساسية واللازم نطلعها من الصبح لحد العصر عشان ناخدها. ده غير الأسعار اللي بتتغير كل يوم ولا نعرف ليه! أتمنى لو الحكومة تقدر تحسن الوضع وتتعامل مع المشكلة بجدية علشان الناس تبقى مرتاحة.",مكتب نور بنى سويف,بني سويف
3,"أنا رأيي مش كويس أوي في خدمات التموين في بورسعيد, هما بيقدموا حاجات كويسة لكن دايما بتأخرنا شوية.",مؤسسة الغذاء الصحي,بورسعيد
1,"أنا مش راضي على خدمات التموين دي, لو كنت مديرها هغير كل حاجة. إحنا بنحتاج وجبات أفضل وأسرع عشان نقدر نستفيد منها.",مكتب التعاون الغذائي,الشرقية
4,"أنا سعيد جدا بالخدمة النهاردة, بس للأسف مش كلها مثالية. كانت الوجبة جيدة لكن الطعم اتغير بعد ساعة. وأكيد لازم يتحسنوا فى تقديمهم عشان نقدر نقول إنهم أفضل من غيرهم.",شركة جيزة للأغذية,الإسكندرية
4,"أنا سعيد بتقديم خدمتي بتقييم جيد جدا على الموقع الاجتماعي, ولكن هناك بعض الأشياء التي يمكن تحسينها. أتمنى لو كان بإمكاننا الحصول على المزيد من التنوع في القائمة والأسعار معقولة أكثر. شكرا جزيلا! #خدمات_التموين_في_الجيزة",جمعية طيبة للضيافة,الجيزة
2,"أنا بشكر الحكومة على تقديم خدمات التموين, لكن للأسف الشديد مش بنحس بأي تحسن حتى الآن. الأسعار مرتفعة جدا والأكل بيكون قديم ومش طازج أبدا. أنا شايف إن الناس محتاجة الدعم أكثر من كده.",مكتب التغذية المثالية,السويس
3,"أنا مش راضيا على خدمتكم, يا حكومة! احنا بنستلم أكلة باظة ومش طازجة أبدا, واحنا عايزين أكل صحي ولذيذ عشان نقدر نأكل ونعيش حياة صحية. لازم تتغيروا وتعالجوا المشكلة بسرعة قبل ما الناس تفقد الثقة فيكم تمام.",مكتب غذاء البحيرة,البحيرة
3,"أنا مش راضي خالص عن خدمات التموين دي, لأنها دايما متأخرة ومش بتوصل للأماكن الصحيحة! أمال لو كانت أحسن مرة واحدة?",شركة جيزة للأغذية,الإسكندرية
2,"أنا مش راضي على خدمة التموين, هي بتطلعلي مرة واحدة كل شهر ومحددة جدا بالأطباق والأصناف اللي بقدمها. هبدأ أكتب تعليقات أكثر وأشارك الناس تجربتي معاهم عشان نعرف نغير الوضع ونوصل لحلول أفضل.",الجمعية المصرية لتغليف الطعام,القاهرة
2,"أنا سعيد جدا لأنك استمتعت بتعليقاتي! إن خلق ردود واقعية وطبيعية على أي موضوع يتطلب الكثير من البحث وفهم السياق الثقافي والاجتماعي لكل دولة. هذا يعني أنني بحاجة إلى تعلم اللغة المحلية والعادات والتقاليد والقيم الثقافية للناس لفهم كيف يتحدثون ويكتبون بشكل طبيعي. لذلك, أقوم بالبحث المكثف حول كل بلد وأتعلم أكثر وأكثر حتى أتمكن من تقديم أفضل الردود الممكنة. هل هناك أي شيء آخر تود معرفته?",مكتب زهراء التموين,بورسعيد
1,"أنا مش راضي على خدمات التموين هنا, أنا عايز أكل كويس ولذيذ ولازم الناس اللي بتعمله يكونوا محترمين ومش بيزعلوا ناس",شركة مروة للطعام,مطروح
3,"أنا مش عارف ليه الناس بتنتقدها كده, بس هي فعلا محتاجة للتطوير. الخدمات دي لازم تتحسن عشان نقدر نقول إنها كويسة ونقبل عليها!",مكتب الطعام الصحي,القاهرة
3,"أنا مش راضيا تماما على خدمة التموين, بجد محتاجة تتحسن أكتر, لأن الناس بتتعطش للطعام وبتحتاجه بشكل يومي.",مكتب السعادة للتوريد,الشرقية
1,"يا جماعة, أنا عايز أقول لكم إني مش راضيا عن خدمات التموين في الجيزة خالص! ده لأن الحاجات اللي بتوصل للمنازل بتكون متهالكة ومش نظيفة زي ما المفروض, وكمان الأسعار غالية أوي مقارنة بجودة الخدمات المقدمة. أتمنى لو الحكومة تقدر تحسن الوضع وتعدل الأمور للأفضل. شكرا.",مكتب لوجيستيات التموين,الجيزة
2,"يا جماعة, أنا عايز أقول رأي في خدمة التموين في مطروح. بصراحة مش راضي عنها خالص, لأنها دائما متأخرة ومش بتوصل للناس اللي محتاجينها بجد. أتمنى لو الحكومة تعمل على تحسينها عشان الناس اللي بتمر بضائقة مالية يستفيدوا منها.",جمعية سواعد مطروح,مطروح
1,"أنا بجد مش فاهم حاجة, ممكن توضحلي؟",مكتب الطعام الصحي مكتب الغذاء الجيد,الجيزة
1,"أنا مش راضيه على خدمات التوزيع, هي بقت أسوأ بكثير من الأول! أنا بتكلم هنا علشان أحكي تجربتي الشخصية مع التوزيع اللي كان فظيع جدا. كنت محتاج حاجة مهمة أوي وبقت متوفره ومش عارف ليه هما بيخدوها مني!",جمعية إطعام الأسكندرية,الإسكندرية
4,"أنا راضى جدا على خدمة التوصيل دي, بس محتاجة شوية تطوير علشان نقدر نستفيد منها بشكل أفضل. لو كانوا يقدروا يطوروها كده هيبقى أحسن كتير.",الجمعية المصرية لخدمات التموين,المنيا
2,"أنا مش فاضي أتكلم على الموضوع ده دلوقتي, لكن ممكن أعمل استطلاع رأي للناس اللي استخدموا الخدمة دي قبل كده وأجيبلك تقرير شامل عنها.",مكتب التموين,الجيزة
4,"أنا عايز أقول إن خدمات التموين في القاهرة بتحسن شوية, لكن مش كفاية بعد! لازم يبقى فيه تحسين اكتر عشان نقدر نقول إنها كويسة فعلا.",جمعية البيت الحلو,القاهرة
3,"أنا راني بضايق جدا من خدمات التموين في سوهاج, مش عارفين نعمل ايه? احنا بنعمل اللي علينا وبنتعب بس ولا فيه نتيجة! أنا عايز الحق بتاعنا يرجع تاني زي الأول!",مكتب نوران للتغذية,سوهاج
2,"أنا مش عارف أعمل حاجة مع خدمة التموين دي! كل مرة أطلب منها حاجات, بتجيلي على طول بلا الحاجات اللي طلبتها أصلا. ممكن يكون ده بسبب عدم كفاءة العاملين فيها, ولكن بصراحة الموضوع مضايق جدا. لو كان فيه أي حل لتحسين الوضع, سأكون سعيد للغاية.",مكتب الأغذية الصحية,البحيرة
1,"أنا مش فاهم الكلام ده كويس, بس لو عايز تقول رأيك في خدمة التموين في المنوفية على فيسبوك, ممكن تقولي خدمة التموين في المنوفية سيئة جدا! كل مرة بتيجي فيها البقالة, بنشوف حاجات كتير ناقصة وبقت قديمة.",جمعية طيبة للأغذية,المنوفية
1,"أنا مش راضي خالص على خدمات التموين في الجيزة, هي بتكون فظيعة جدا ومفيش احترام للمواطن اللي بيستلم الحاجات دي. أنا شايف إن الحكومة لازم تاخد الموضوع بجدية وتحسن منه قبل ما الناس تفقد الثقة فيهم.",مكتب زهراء,الجيزة
4,"أنا مش بحب الأكل من التموين, لأن كل مرة أشتري منها بتكون فاسدة وبتلزق فبلاحي. ولو عاوزة أغير رأي الناس عنها لازم تعملوا حسابكم كويس وتصححوا الأخطاء اللي فيها.",مكتب الطيبات,دمياط
4,"أنا مش سعيد جدا بالخدمة دي, بالرغم أنها كويسة نوعا ما بس يمكن أحسن بكتير. المشكلة الوحيدة اللي واجهتها هي التأخير المستمر في التوصيل, ده لو وصل أصلا! أتمنى أنهم يعملوا على تحسينه عشان نقدر نستفيد منه بشكل أفضل.",مؤسسة إمداد,القاهرة
3,"أنا مش راضيا تماما على خدمة التموين في محافظتنا, لأنها دائما متأخرة ولا بتقدم نفس الجودة كل مرة. أتمنى لو يتحسن الوضع قريب.",الجمعية التعاونية لإنتاج الأغذية,السويس
4,"أنا سعيد جدا بالخدمات التموينية اللي بنحصل عليها هنا في مدينة السويس, بس للأسف مش كل الناس بتحصل على الكمية الكافية. أتمنى أنهم يقدرون على زيادتها ليهم علشان نقدر نستمتع بالحياة بشكل أفضل. شكرا لكم.",جمعية خيركم للغذاء,السويس
1,"أنا مش راضيا خالص على خدمات التموين في الأسكندرية, كل مرة بنروح فيها للحصول عليها, نتعرض للتعب والمعاناة. احنا محتاجين حل سريع علشان نقدر نستمتع بالحاجات اللي إحنا مستحقينها.",مكتب الطعام الخيري,الإسكندرية
3,"أنا مش راضية على خدمة التموين اللي احنا بنستلم منها, لأنه دايما بيحصل أخطاء وبيكون فيه نقص في الأصناف. وأكيد ده بيزود من تكلفة المعيشة علينا كلنا. أتمنى أنهم يتحسنوا ويعدلوا الأمور عشان الناس تقدر تعيش بكرامة. #الدقهلية #التموين_المصري",مؤسسة التغذية المتكاملة للدقهلية,الدقهلية
2,"أنا مش راضيه على خدمه التموين دي, بالرغم من أنها كانت حلوه أول الأمر لكن دلوقتي بقت كتير مزرية ومش زي الأول خالص. أتمنى أنهم يعملوا عليها عشان نقدر نستمتع بيها مرة تانيه.",مكتب السواني,مطروح
3,"أنا سعيد جدا لتقديم تعليقاتكم على خدمات التوصيل في المحافظة! يسعدنا دائما سماع أفكاركم واقتراحاتكم لتحسين خدماتنا. شكرا لكم على تقييمكم للخدمة, ونعدكم بتقديم أفضل الخدمات الممكنة لتلبية احتياجاتكم وتوقعاتكم. نحن نقدر ثقتكم فينا ونتطلع إلى خدمتكم بشكل أفضل في المستقبل القريب. نتطلع باستمرار إلى الاستماع إليكم والعمل معا لتحقيق أهدافنا المشتركة. شكرا جزيلا لكم على وقتكم ومشاركتكم القيمة.",جمعية التعاون الغذائي,البحيرة
1,"أنا مش راضيا خالص على خدمات التموين, لأن دايما بنواجه مشاكل كتير مع التوصيل والتلفاز بيبقى مكسور والميكروويف كمان! ده غير الأسعار المرتفعة اللي بتزيد كل شهر. أتمنى لو يتحسن الوضع قريب علشان نقدر نستمتع بالخدمة بالشكل الصحيح.",جمعية الواحة,السويس
2,"أنا مش عارف أقول إيه عن خدمة التموين دي, لكن بصراحة هي مفيهاش أي فائدة للناس اللي بتستخدمها. كل يوم بنقابل مشاكل مع الموظفين وبنتعب كتير علشان نحصل على الحاجات الأساسية لنا ولأسرنا. المفروض الحكومة تهتم بأهلها أكثر من كده!",جمعية طيبة للضيافة,الجيزة
4,"أنا عايز أقول لك إنك بتعمل مجهود كبير عشان توصلنا للحلول, بس ده مش كافي خالص. احنا محتاجين نقدر على الأقل نأكل كويس ونرتاح شوية بعد يوم طويل ومليء بالمجهود. ربنا معاك.",مكتب الرابطة التعاونية لتنمية الريف,المنوفية
4,"أنا سعيد جدا لأن خدمات التموين في محافظتنا بتتحسن بشكل تدريجي, بس هي مش تمام بعد. كنت عايز أقول للناس اللي بيستخدموا الموقع الاجتماعي إنهم يحطوا تقييمهم بناء على تجربتهم الشخصية وليس بناء على آراء الآخرين. وكمان أتمنى لو الحكومة تقدر توفر المزيد من الخيارات للأكل الصحي والأقل سعرا للأشخاص الغلابة.",جمعية طيبة للأغذية,المنوفية
1,"أنا مش راضي خالص على خدمات التموين دي, لأنها دائما متأخرة وفي بعض الأحيان مفيش أصلا! أتمنى لو الحكومة تهتم أكثر بيقواتنا وتوصيل الحاجات اللي بنحتاجها صح وبسرعة.",مكتب الرابطة التعاونية لتنمية الريف,المنوفية
1,"أنا مش بحب الأكل من المطاعم اللي في المحافظة, لأنهم دايما بيشتغلوا بدون معايير صحية سليمة ومش بيفرزوا بشكل صحيح. لو كانوا بيعملوها صح كان أحسن بكتير.",مؤسسة الغذاء الصحي بالقاهرة,القاهرة
4,"أنا سعيد جدا بخدمة التموين في دقهلية, لكن أعتقد أنها يمكن تحسينها شوية. لو كانوا يوفروا أكثر أصناف الطعام زي الأرز والفول والعدس, كان أفضل. ولكن على أي حال, شكرا للخدمة اللي تقدمها!",مكتب السعادة,الدقهلية
2,"أنا مش عارف أعمل حاجة مع خدمات التموين دي, كل مرة أروح فيها أتأخر كتير جدا وأتعرض للضغوط النفسية!",مكتب التعاون الغذائي,الإسكندرية
4,أنا سعيد جدآ بأن خدمتكم كانت جيدة ولكن أتمنى لو كان هناك المزيد من الخيارات المتاحة على القائمة لأن بعض الأشياء مش موجودة. شكرا جزيلا لكم!,مؤسسة طعام البوابة الجديدة,بورسعيد
1,"أنا مش عارفة أتكلم كتير, بس دلوقتي في مشكلة كبيرة مع خدمة التموين هنا في المحافظة. بنلاقي صعوبة شديدة في الحصول على السلع الأساسية علشان نعيش حياتنا الطبيعية. لازم الحكومة تعمل حاجة عشان الناس تقدر تعيش بكرامة.",اتحاد التموين البحري في المحافظة,البحيرة
4,"أنا سعيد جدا بأن خدمتنا نالت إعجابكم, ولكن هناك دائما مجال للتحسين. نحن نقدر ملاحظاتكم ونعمل على تطوير خدماتنا لتلبية احتياجاتكم بشكل أفضل. شكرا لكم.",جمعية حياه طيبة,القاهرة
1,"أنا عايز أقول إن نظام التوزيع بتاع المحافظة مش حلو أوي, أنا بسمع عنه كتير ومش شايف أي تحسن فيه. لازم المسؤولين يعملوا حاجة علشان الناس اللي بتستلم الحاجات تقدر تستلمها بسهولة وأمان.",مكتب بلسم البركة,كفر الشيخ
4,"أنا رائي إن نظام توصيل الطعام ده مش كويس خالص, أنا بستخدمه عشان أكون سريع وأوفر وقت, لكن للأسف كل مرة أحصل على نفس الوجبة مرتين! دي مشكلة كبيرة أوي بالنسبة لي.",مكتب الخير,الإسكندرية
3,"أنا مش راضي على خدمة التوصيل في بورسعيد, هي ناقصة كتير! الأكل اللي بيجي للبيت مبيكونش طازج ومش بتوصيله في الوقت المناسب. أتمنى أنهم يحسنوا خدمتهم لأن الناس بكده بتحب تأكل كويس وبتحب تستمتع بالطعام بتاعهم.",مؤسسة الغذاء الصحي,بورسعيد
